Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
ha56889,oregon,f,bachelor,3884.8552,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000114,0,personal auto,sports car,1970-01-01 00:00:00.000000851,nevada,f
eb72669,oregon,f,bachelor,4518.024385,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000078,3,personal auto,four-door car,1970-01-01 00:00:00.000000374,california,m
ch95772,oregon,f,college,2565.124294,1970-01-01 00:00:00.000068321,1970-01-01 00:00:00.000000066,0,personal auto,four-door car,1970-01-01 00:00:00.000000198,california,m
oz62735,oregon,f,bachelor,15487.44072,1970-01-01 00:00:00.000069161,1970-01-01 00:00:00.000000129,0,personal auto,sports car,1970-01-01 00:00:00.000000441,arizona,m
un50538,oregon,f,bachelor,6395.351807,1970-01-01 00:00:00.000072667,1970-01-01 00:00:00.000000080,0,personal auto,four-door car,1970-01-01 00:00:00.000000383,oregon,f
js76871,oregon,f,high school or below,8639.088723,1970-01-01 00:00:00.000062082,1970-01-01 00:00:00.000000072,0,corporate auto,four-door car,1970-01-01 00:00:00.000000091,oregon,m
ug42487,oregon,f,high school or below,9806.215757,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000087,0,personal auto,four-door car,1970-01-01 00:00:00.000000626,arizona,f
tb56369,oregon,f,bachelor,12472.1199,1970-01-01 00:00:00.000036551,1970-01-01 00:00:00.000000107,0,personal auto,four-door car,1970-01-01 00:00:00.000000053,california,f
zn27753,oregon,f,bachelor,5794.565797,1970-01-01 00:00:00.000070524,1970-01-01 00:00:00.000000073,0,personal auto,four-door car,1970-01-01 00:00:00.000000350,oregon,m
fh22442,oregon,f,high school or below,2619.027206,1970-01-01 00:00:00.000060477,1970-01-01 00:00:00.000000065,0,corporate auto,four-door car,1970-01-01 00:00:00.000000139,california,f
lv81383,oregon,f,high school or below,3731.504584,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000096,0,personal auto,four-door car,1970-01-01 00:00:00.000000460,washington,f
hi34993,oregon,f,high school or below,5421.018201,1970-01-01 00:00:00.000040376,1970-01-01 00:00:00.000000069,0,personal auto,four-door car,1970-01-01 00:00:00.000000427,oregon,m
kw59167,oregon,f,college,6521.368813,1970-01-01 00:00:00.000072608,1970-01-01 00:00:00.000000082,3,personal auto,four-door car,1970-01-01 00:00:00.000000393,oregon,f
bl44722,oregon,f,high school or below,41787.90343,1970-01-01 00:00:00.000046587,1970-01-01 00:00:00.000000119,2,personal auto,four-door car,1970-01-01 00:00:00.000000571,nevada,f
qv11152,oregon,f,high school or below,9613.613215,1970-01-01 00:00:00.000034398,1970-01-01 00:00:00.000000061,1,personal auto,two-door car,1970-01-01 00:00:00.000000292,arizona,m
sg53084,oregon,f,bachelor,4766.645359,1970-01-01 00:00:00.000070432,1970-01-01 00:00:00.000000061,3,personal auto,four-door car,1970-01-01 00:00:00.000000006,california,f
ez30537,oregon,f,doctor,23984.62144,1970-01-01 00:00:00.000079655,1970-01-01 00:00:00.000000170,0,personal auto,luxury car,1970-01-01 00:00:00.000000498,oregon,f
ay35050,oregon,f,college,7292.913911,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000098,0,personal auto,two-door car,1970-01-01 00:00:00.000000470,arizona,f
uq59692,oregon,f,bachelor,21255.49606,1970-01-01 00:00:00.000073457,1970-01-01 00:00:00.000000133,1,personal auto,suv,1970-01-01 00:00:00.000000198,california,f
jf11031,oregon,f,college,5357.75893,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000082,0,personal auto,four-door car,1970-01-01 00:00:00.000000393,california,m
de53644,oregon,f,bachelor,5192.355227,1970-01-01 00:00:00.000023059,1970-01-01 00:00:00.000000066,0,personal auto,two-door car,1970-01-01 00:00:00.000000372,california,f
kr53335,oregon,f,bachelor,7116.549068,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000066,0,personal auto,four-door car,1970-01-01 00:00:00.000000316,washington,f
aj89108,oregon,f,bachelor,11009.13049,1970-01-01 00:00:00.000051643,1970-01-01 00:00:00.000000170,0,personal auto,luxury car,1970-01-01 00:00:00.000000966,california,f
mz10085,oregon,f,high school or below,4328.373176,1970-01-01 00:00:00.000072531,1970-01-01 00:00:00.000000109,1,personal auto,sports car,1970-01-01 00:00:00.000000523,nevada,m
ev68966,oregon,f,college,9419.883665,1970-01-01 00:00:00.000087840,1970-01-01 00:00:00.000000118,1,personal auto,suv,1970-01-01 00:00:00.000000161,california,m
ps28082,oregon,f,high school or below,2592.928283,1970-01-01 00:00:00.000057563,1970-01-01 00:00:00.000000066,0,personal auto,four-door car,1970-01-01 00:00:00.000000316,arizona,m
mx89333,oregon,f,bachelor,2554.189234,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000072,2,personal auto,two-door car,1970-01-01 00:00:00.000000345,arizona,m
oe14751,oregon,f,doctor,3528.044252,1970-01-01 00:00:00.000031278,1970-01-01 00:00:00.000000092,4,personal auto,two-door car,1970-01-01 00:00:00.000000441,oregon,m
yi73667,oregon,f,college,5340.810309,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000072,0,personal auto,four-door car,1970-01-01 00:00:00.000000345,nevada,f
ax70794,oregon,f,high school or below,2449.31771,1970-01-01 00:00:00.000047122,1970-01-01 00:00:00.000000062,0,personal auto,two-door car,1970-01-01 00:00:00.000000297,california,m
bf69918,oregon,f,high school or below,5666.465804,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000077,0,personal auto,four-door car,1970-01-01 00:00:00.000000534,oregon,m
ke61355,oregon,f,high school or below,5272.703428,1970-01-01 00:00:00.000060260,1970-01-01 00:00:00.000000066,0,corporate auto,four-door car,1970-01-01 00:00:00.000000328,oregon,f
hg65194,oregon,f,college,8672.814261,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000125,0,personal auto,suv,1970-01-01 00:00:00.000000600,oregon,f
gv68933,oregon,f,high school or below,7679.677721,1970-01-01 00:00:00.000012677,1970-01-01 00:00:00.000000101,0,personal auto,suv,1970-01-01 00:00:00.000000500,arizona,m
lm76366,oregon,f,high school or below,2999.338779,1970-01-01 00:00:00.000028564,1970-01-01 00:00:00.000000076,0,corporate auto,two-door car,1970-01-01 00:00:00.000000364,nevada,m
ps57128,oregon,f,bachelor,3834.735196,1970-01-01 00:00:00.000041341,1970-01-01 00:00:00.000000099,0,personal auto,four-door car,1970-01-01 00:00:00.000000240,california,f
ah55475,oregon,f,college,33053.26869,1970-01-01 00:00:00.000044246,1970-01-01 00:00:00.000000122,3,personal auto,suv,1970-01-01 00:00:00.000000585,arizona,m
le91297,oregon,f,master,5175.28934,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000071,0,personal auto,four-door car,1970-01-01 00:00:00.000000340,oregon,m
if18508,oregon,f,high school or below,7950.570995,1970-01-01 00:00:00.000070610,1970-01-01 00:00:00.000000099,0,personal auto,four-door car,1970-01-01 00:00:00.000000240,california,f
ye87442,oregon,f,high school or below,9935.165983,1970-01-01 00:00:00.000034831,1970-01-01 00:00:00.000000124,0,personal auto,suv,1970-01-01 00:00:00.000000595,arizona,f
qd85803,oregon,f,bachelor,7861.798596,1970-01-01 00:00:00.000030374,1970-01-01 00:00:00.000000099,0,personal auto,four-door car,1970-01-01 00:00:00.000000304,california,f
sf25048,oregon,f,college,8092.87696,1970-01-01 00:00:00.000050825,1970-01-01 00:00:00.000000102,0,personal auto,suv,1970-01-01 00:00:00.000000369,california,m
fh39423,oregon,f,master,5539.349243,1970-01-01 00:00:00.000080727,1970-01-01 00:00:00.000000068,0,personal auto,four-door car,1970-01-01 00:00:00.000000098,oregon,f
lw43630,oregon,f,bachelor,9628.702696,1970-01-01 00:00:00.000071269,1970-01-01 00:00:00.000000080,0,personal auto,four-door car,1970-01-01 00:00:00.000000350,california,f
xo17798,oregon,f,high school or below,5827.483965,1970-01-01 00:00:00.000045794,1970-01-01 00:00:00.000000074,0,personal auto,four-door car,1970-01-01 00:00:00.000000449,washington,m
in15077,oregon,f,high school or below,4807.846463,1970-01-01 00:00:00.000099874,1970-01-01 00:00:00.000000119,0,corporate auto,sports car,1970-01-01 00:00:00.000000307,california,m
ne16405,oregon,f,bachelor,2582.408525,1970-01-01 00:00:00.000076731,1970-01-01 00:00:00.000000064,0,personal auto,four-door car,1970-01-01 00:00:00.000000201,california,f
tu82820,oregon,f,master,4475.161898,1970-01-01 00:00:00.000073019,1970-01-01 00:00:00.000000112,0,corporate auto,suv,1970-01-01 00:00:00.000000537,california,m
fr26341,oregon,f,master,2399.045522,1970-01-01 00:00:00.000019112,1970-01-01 00:00:00.000000062,0,personal auto,four-door car,1970-01-01 00:00:00.000000259,oregon,m
mt27589,oregon,f,college,7840.165778,1970-01-01 00:00:00.000058414,1970-01-01 00:00:00.000000170,2,corporate auto,luxury suv,1970-01-01 00:00:00.000000966,oregon,m
ug72692,oregon,f,bachelor,2378.090679,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000070,0,personal auto,four-door car,1970-01-01 00:00:00.000000734,oregon,m
mp95255,oregon,f,high school or below,3919.366722,1970-01-01 00:00:00.000066676,1970-01-01 00:00:00.000000097,0,personal auto,four-door car,1970-01-01 00:00:00.000000558,california,f
em16179,oregon,f,college,8274.145703,1970-01-01 00:00:00.000069011,1970-01-01 00:00:00.000000070,0,personal auto,four-door car,1970-01-01 00:00:00.000000336,arizona,f
dr77208,oregon,f,bachelor,9538.770856,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000085,0,personal auto,two-door car,1970-01-01 00:00:00.000000058,california,m
pr31509,oregon,f,bachelor,5331.823882,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000071,0,personal auto,four-door car,1970-01-01 00:00:00.000000340,nevada,m
se33381,oregon,f,bachelor,4531.675269,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000126,0,corporate auto,suv,1970-01-01 00:00:00.000000907,arizona,f
bw43011,oregon,f,high school or below,3834.210713,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000112,0,personal auto,suv,1970-01-01 00:00:00.000000806,california,m
yp96182,oregon,f,master,2726.797356,1970-01-01 00:00:00.000031385,1970-01-01 00:00:00.000000069,0,personal auto,four-door car,1970-01-01 00:00:00.000000068,oregon,m
wi58274,oregon,f,college,8238.45802,1970-01-01 00:00:00.000068261,1970-01-01 00:00:00.000000102,0,personal auto,sports car,1970-01-01 00:00:00.000000084,oregon,f
yf26585,oregon,f,high school or below,4758.470236,1970-01-01 00:00:00.000092324,1970-01-01 00:00:00.000000119,2,corporate auto,sports car,1970-01-01 00:00:00.000000603,nevada,m
uh76090,oregon,f,bachelor,8818.051498,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000136,4,personal auto,suv,1970-01-01 00:00:00.000000966,california,f
vf36700,oregon,f,master,24278.10167,1970-01-01 00:00:00.000020983,1970-01-01 00:00:00.000000097,1,personal auto,four-door car,1970-01-01 00:00:00.000000451,oregon,f
cs32416,oregon,f,bachelor,5595.761077,1970-01-01 00:00:00.000068004,1970-01-01 00:00:00.000000072,0,corporate auto,two-door car,1970-01-01 00:00:00.000000416,oregon,m
at18041,oregon,f,high school or below,2682.704812,1970-01-01 00:00:00.000063471,1970-01-01 00:00:00.000000067,0,personal auto,two-door car,1970-01-01 00:00:00.000000387,california,f
tb54645,oregon,f,bachelor,3033.407812,1970-01-01 00:00:00.000027369,1970-01-01 00:00:00.000000077,0,personal auto,four-door car,1970-01-01 00:00:00.000000331,oregon,f
lx11170,oregon,f,high school or below,4862.908979,1970-01-01 00:00:00.000036839,1970-01-01 00:00:00.000000061,0,personal auto,four-door car,1970-01-01 00:00:00.000000152,oregon,f
ro43614,oregon,f,bachelor,2128.621329,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000065,2,personal auto,four-door car,1970-01-01 00:00:00.000000312,washington,f
qs36363,oregon,f,high school or below,12655.52878,1970-01-01 00:00:00.000026149,1970-01-01 00:00:00.000000157,0,personal auto,suv,1970-01-01 00:00:00.000000753,arizona,f
fx72157,oregon,f,high school or below,8556.58016,1970-01-01 00:00:00.000052440,1970-01-01 00:00:00.000000109,0,corporate auto,four-door car,1970-01-01 00:00:00.000000371,oregon,f
xc43591,oregon,f,college,12880.74907,1970-01-01 00:00:00.000024571,1970-01-01 00:00:00.000000109,0,personal auto,four-door car,1970-01-01 00:00:00.000000523,oregon,m
pj71030,oregon,f,high school or below,3049.837544,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000090,0,special auto,four-door car,1970-01-01 00:00:00.000000432,oregon,m
jh14651,oregon,f,master,3237.996209,1970-01-01 00:00:00.000060244,1970-01-01 00:00:00.000000083,3,personal auto,four-door car,1970-01-01 00:00:00.000000326,washington,m
yg42297,oregon,f,college,5248.978048,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000072,0,personal auto,four-door car,1970-01-01 00:00:00.000000216,arizona,m
ty31217,oregon,f,bachelor,11009.13049,1970-01-01 00:00:00.000051643,1970-01-01 00:00:00.000000170,0,personal auto,luxury car,1970-01-01 00:00:00.000000966,washington,f
ku69274,oregon,f,high school or below,14267.93156,1970-01-01 00:00:00.000017157,1970-01-01 00:00:00.000000123,0,personal auto,suv,1970-01-01 00:00:00.000000770,arizona,f
mu53420,oregon,f,high school or below,5325.724541,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000073,0,personal auto,two-door car,1970-01-01 00:00:00.000000496,oregon,m
re36747,oregon,f,high school or below,3034.771777,1970-01-01 00:00:00.000017308,1970-01-01 00:00:00.000000082,0,personal auto,four-door car,1970-01-01 00:00:00.000000874,nevada,m
in78205,oregon,f,college,8329.039004,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000118,0,personal auto,suv,1970-01-01 00:00:00.000000849,arizona,f
ah39293,oregon,f,college,2616.613903,1970-01-01 00:00:00.000072302,1970-01-01 00:00:00.000000066,0,personal auto,two-door car,1970-01-01 00:00:00.000000316,california,m
if30418,oregon,f,master,2574.020376,1970-01-01 00:00:00.000034990,1970-01-01 00:00:00.000000065,0,personal auto,four-door car,1970-01-01 00:00:00.000000042,california,f
qh51455,oregon,f,college,4004.5513,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000107,0,personal auto,four-door car,1970-01-01 00:00:00.000000513,arizona,m
uz60774,oregon,f,bachelor,6051.799036,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000087,1,personal auto,four-door car,1970-01-01 00:00:00.000000626,nevada,f
ad63766,oregon,f,bachelor,2839.013244,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000081,0,personal auto,two-door car,1970-01-01 00:00:00.000000388,oregon,m
mn19541,oregon,f,college,1994.774936,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000061,0,personal auto,four-door car,1970-01-01 00:00:00.000000393,arizona,m
sf38922,oregon,f,college,11944.40399,1970-01-01 00:00:00.000033760,1970-01-01 00:00:00.000000102,0,personal auto,suv,1970-01-01 00:00:00.000000123,oregon,m
st91578,oregon,f,master,6466.304259,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000090,0,personal auto,four-door car,1970-01-01 00:00:00.000000144,california,m
ap52565,oregon,f,high school or below,6746.434272,1970-01-01 00:00:00.000070328,1970-01-01 00:00:00.000000084,0,corporate auto,four-door car,1970-01-01 00:00:00.000000293,arizona,f
bt68954,oregon,f,bachelor,3561.035706,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000099,0,special auto,four-door car,1970-01-01 00:00:00.000000712,oregon,m
nu93648,oregon,f,bachelor,20774.02463,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000063,0,corporate auto,two-door car,1970-01-01 00:00:00.000000243,arizona,m
ou60143,oregon,f,bachelor,3939.00637,1970-01-01 00:00:00.000060021,1970-01-01 00:00:00.000000099,0,corporate auto,four-door car,1970-01-01 00:00:00.000000882,oregon,f
ec51047,oregon,f,bachelor,8915.172898,1970-01-01 00:00:00.000031991,1970-01-01 00:00:00.000000081,3,personal auto,four-door car,1970-01-01 00:00:00.000000548,california,f
ev46476,oregon,f,bachelor,8084.325058,1970-01-01 00:00:00.000020169,1970-01-01 00:00:00.000000112,1,personal auto,suv,1970-01-01 00:00:00.000000537,california,m
hb59616,oregon,f,college,4502.980016,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000064,0,personal auto,two-door car,1970-01-01 00:00:00.000000307,washington,f
ra34556,oregon,f,high school or below,4877.954567,1970-01-01 00:00:00.000020178,1970-01-01 00:00:00.000000069,2,corporate auto,four-door car,1970-01-01 00:00:00.000000331,california,m
nb87421,oregon,f,high school or below,8294.968932,1970-01-01 00:00:00.000078189,1970-01-01 00:00:00.000000103,0,corporate auto,four-door car,1970-01-01 00:00:00.000000099,arizona,m
hr64765,oregon,f,high school or below,8485.385641,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000170,0,personal auto,luxury car,1970-01-01 00:00:00.000000966,washington,m
fm70419,oregon,f,college,4740.202507,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000072,1,personal auto,four-door car,1970-01-01 00:00:00.000000518,oregon,m
gx51965,oregon,f,high school or below,8564.768226,1970-01-01 00:00:00.000095697,1970-01-01 00:00:00.000000107,0,personal auto,sports car,1970-01-01 00:00:00.000000178,california,m
os75351,oregon,f,college,2393.915369,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000070,0,personal auto,four-door car,1970-01-01 00:00:00.000000425,oregon,m
tu25694,oregon,f,high school or below,2458.746211,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000070,0,personal auto,four-door car,1970-01-01 00:00:00.000000504,oregon,m
js90115,oregon,f,high school or below,19597.05706,1970-01-01 00:00:00.000064559,1970-01-01 00:00:00.000000062,0,personal auto,four-door car,1970-01-01 00:00:00.000000107,nevada,f
kw93227,oregon,f,college,21892.93859,1970-01-01 00:00:00.000058149,1970-01-01 00:00:00.000000061,0,special auto,four-door car,1970-01-01 00:00:00.000000292,washington,m
su41739,oregon,f,college,8728.456239,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000124,0,personal auto,suv,1970-01-01 00:00:00.000000473,california,m
tv75816,oregon,f,high school or below,2386.201293,1970-01-01 00:00:00.000070911,1970-01-01 00:00:00.000000063,3,corporate auto,two-door car,1970-01-01 00:00:00.000000302,oregon,m
rs54064,oregon,f,high school or below,21892.3539,1970-01-01 00:00:00.000078337,1970-01-01 00:00:00.000000062,2,corporate auto,two-door car,1970-01-01 00:00:00.000000036,washington,m
ob63331,oregon,f,doctor,2813.50617,1970-01-01 00:00:00.000050397,1970-01-01 00:00:00.000000070,0,corporate auto,four-door car,1970-01-01 00:00:00.000000350,arizona,f
ti58610,oregon,f,master,2996.889929,1970-01-01 00:00:00.000051199,1970-01-01 00:00:00.000000074,0,corporate auto,four-door car,1970-01-01 00:00:00.000000355,arizona,f
tj82551,oregon,f,bachelor,4063.331688,1970-01-01 00:00:00.000046928,1970-01-01 00:00:00.000000102,1,personal auto,four-door car,1970-01-01 00:00:00.000000631,nevada,f
zo43755,oregon,f,master,8368.875358,1970-01-01 00:00:00.000023879,1970-01-01 00:00:00.000000107,0,corporate auto,suv,1970-01-01 00:00:00.000000635,oregon,f
vg16827,oregon,f,master,4626.801093,1970-01-01 00:00:00.000079487,1970-01-01 00:00:00.000000114,0,personal auto,suv,1970-01-01 00:00:00.000000547,california,f
kj48497,oregon,f,high school or below,7516.786075,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000106,0,personal auto,suv,1970-01-01 00:00:00.000000850,oregon,f
na27429,oregon,f,high school or below,3644.833554,1970-01-01 00:00:00.000082477,1970-01-01 00:00:00.000000090,0,personal auto,two-door car,1970-01-01 00:00:00.000000432,nevada,f
az38648,oregon,f,master,11981.98481,1970-01-01 00:00:00.000021514,1970-01-01 00:00:00.000000062,0,personal auto,two-door car,1970-01-01 00:00:00.000000257,washington,f
sr53077,oregon,f,high school or below,2601.810999,1970-01-01 00:00:00.000057231,1970-01-01 00:00:00.000000065,0,personal auto,four-door car,1970-01-01 00:00:00.000000305,nevada,f
uo12263,oregon,f,high school or below,4654.954187,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000069,4,corporate auto,four-door car,1970-01-01 00:00:00.000000331,oregon,f
bc86800,oregon,f,bachelor,3579.773094,1970-01-01 00:00:00.000084598,1970-01-01 00:00:00.000000089,2,personal auto,two-door car,1970-01-01 00:00:00.000000639,california,f
zq28996,oregon,f,college,5388.023812,1970-01-01 00:00:00.000048895,1970-01-01 00:00:00.000000068,0,corporate auto,four-door car,1970-01-01 00:00:00.000000325,nevada,m
ji42730,oregon,f,high school or below,3705.291862,1970-01-01 00:00:00.000084493,1970-01-01 00:00:00.000000092,0,personal auto,four-door car,1970-01-01 00:00:00.000000441,arizona,m
vf21170,oregon,f,bachelor,8613.464001,1970-01-01 00:00:00.000037277,1970-01-01 00:00:00.000000109,1,personal auto,suv,1970-01-01 00:00:00.000000417,california,f
mp25903,oregon,f,high school or below,2703.266928,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000071,0,personal auto,two-door car,1970-01-01 00:00:00.000000497,oregon,m
yh24323,oregon,f,college,2511.697993,1970-01-01 00:00:00.000014906,1970-01-01 00:00:00.000000066,0,corporate auto,four-door car,1970-01-01 00:00:00.000000421,california,f
xb86235,oregon,f,doctor,24186.24342,1970-01-01 00:00:00.000014710,1970-01-01 00:00:00.000000112,0,personal auto,sports car,1970-01-01 00:00:00.000000537,arizona,m
wr53191,oregon,f,bachelor,15120.21281,1970-01-01 00:00:00.000020656,1970-01-01 00:00:00.000000130,0,corporate auto,suv,1970-01-01 00:00:00.000000706,california,f
um83813,oregon,f,bachelor,13379.81103,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000170,0,personal auto,luxury suv,1970-01-01 00:00:00.000000966,oregon,f
jw45704,oregon,f,bachelor,2308.692609,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000064,0,personal auto,four-door car,1970-01-01 00:00:00.000000431,california,m
pv26437,oregon,f,bachelor,7319.575712,1970-01-01 00:00:00.000057777,1970-01-01 00:00:00.000000061,1,corporate auto,four-door car,1970-01-01 00:00:00.000000273,california,f
ax39008,oregon,f,bachelor,26113.36,1970-01-01 00:00:00.000080409,1970-01-01 00:00:00.000000074,0,personal auto,two-door car,1970-01-01 00:00:00.000000262,oregon,m
dj52170,oregon,f,high school or below,5639.941974,1970-01-01 00:00:00.000073168,1970-01-01 00:00:00.000000070,0,special auto,four-door car,1970-01-01 00:00:00.000000425,california,m
rm34371,oregon,f,bachelor,4715.285559,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000064,0,personal auto,two-door car,1970-01-01 00:00:00.000000345,nevada,f
tz65661,oregon,f,college,2742.797845,1970-01-01 00:00:00.000032437,1970-01-01 00:00:00.000000069,0,corporate auto,two-door car,1970-01-01 00:00:00.000000331,california,f
yd74214,oregon,f,college,3808.122147,1970-01-01 00:00:00.000094903,1970-01-01 00:00:00.000000094,0,personal auto,two-door car,1970-01-01 00:00:00.000000451,california,f
ar99766,oregon,f,bachelor,4692.048347,1970-01-01 00:00:00.000082534,1970-01-01 00:00:00.000000118,0,personal auto,suv,1970-01-01 00:00:00.000000004,nevada,f
za30025,oregon,f,bachelor,4055.399126,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000121,0,personal auto,suv,1970-01-01 00:00:00.000000966,arizona,m
ie85867,oregon,f,high school or below,41787.90343,1970-01-01 00:00:00.000046587,1970-01-01 00:00:00.000000119,2,personal auto,four-door car,1970-01-01 00:00:00.000000571,arizona,f
xk52242,oregon,f,bachelor,9800.33636,1970-01-01 00:00:00.000032245,1970-01-01 00:00:00.000000124,0,personal auto,suv,1970-01-01 00:00:00.000000257,california,m
rp12388,oregon,f,bachelor,12379.56803,1970-01-01 00:00:00.000039886,1970-01-01 00:00:00.000000064,1,personal auto,two-door car,1970-01-01 00:00:00.000000290,arizona,m
tp30316,oregon,f,college,9705.30895,1970-01-01 00:00:00.000079157,1970-01-01 00:00:00.000000061,0,corporate auto,two-door car,1970-01-01 00:00:00.000000117,california,m
rs60249,oregon,f,bachelor,4253.283113,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000062,0,personal auto,two-door car,1970-01-01 00:00:00.000000446,oregon,m
al50693,oregon,f,bachelor,3567.503755,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000102,0,corporate auto,suv,1970-01-01 00:00:00.000000660,oregon,m
sh36838,oregon,f,high school or below,5153.91989,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000074,0,personal auto,four-door car,1970-01-01 00:00:00.000000532,arizona,m
cv44550,oregon,f,college,7559.206998,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000119,1,corporate auto,four-door car,1970-01-01 00:00:00.000000964,arizona,m
yo23637,oregon,f,college,4194.906755,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000064,3,special auto,two-door car,1970-01-01 00:00:00.000000759,washington,m
aj32539,oregon,f,bachelor,2829.312319,1970-01-01 00:00:00.000025860,1970-01-01 00:00:00.000000072,0,personal auto,four-door car,1970-01-01 00:00:00.000000345,oregon,m
vq48245,oregon,f,master,3221.788294,1970-01-01 00:00:00.000077882,1970-01-01 00:00:00.000000079,0,personal auto,four-door car,1970-01-01 00:00:00.000000379,washington,f
id15010,oregon,f,doctor,10972.06778,1970-01-01 00:00:00.000024164,1970-01-01 00:00:00.000000137,0,personal auto,sports car,1970-01-01 00:00:00.000000657,oregon,m
rh28799,oregon,f,college,2430.959055,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000070,0,personal auto,four-door car,1970-01-01 00:00:00.000000341,arizona,m
wc72942,oregon,f,high school or below,3790.190029,1970-01-01 00:00:00.000066169,1970-01-01 00:00:00.000000096,1,personal auto,two-door car,1970-01-01 00:00:00.000000156,oregon,m
ht92952,oregon,f,bachelor,8838.085637,1970-01-01 00:00:00.000082664,1970-01-01 00:00:00.000000114,3,corporate auto,suv,1970-01-01 00:00:00.000000133,california,m
lr82110,oregon,f,doctor,20101.65141,1970-01-01 00:00:00.000023638,1970-01-01 00:00:00.000000102,0,personal auto,suv,1970-01-01 00:00:00.000000489,nevada,f
je19783,oregon,f,bachelor,6388.21126,1970-01-01 00:00:00.000026436,1970-01-01 00:00:00.000000083,0,personal auto,two-door car,1970-01-01 00:00:00.000000398,arizona,m
mx97096,oregon,f,college,2656.522604,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000078,1,personal auto,four-door car,1970-01-01 00:00:00.000000374,nevada,f
td51026,oregon,f,bachelor,7714.60093,1970-01-01 00:00:00.000013154,1970-01-01 00:00:00.000000102,0,personal auto,suv,1970-01-01 00:00:00.000000489,arizona,m
sd75391,oregon,f,master,2704.537211,1970-01-01 00:00:00.000024173,1970-01-01 00:00:00.000000070,0,personal auto,four-door car,1970-01-01 00:00:00.000000181,california,f
cn29830,oregon,f,high school or below,2495.464753,1970-01-01 00:00:00.000026689,1970-01-01 00:00:00.000000064,0,corporate auto,four-door car,1970-01-01 00:00:00.000000424,california,m
rv52244,oregon,f,bachelor,2498.35063,1970-01-01 00:00:00.000031357,1970-01-01 00:00:00.000000063,0,personal auto,four-door car,1970-01-01 00:00:00.000000002,arizona,f
wa59097,oregon,f,college,5614.587986,1970-01-01 00:00:00.000040417,1970-01-01 00:00:00.000000071,1,personal auto,four-door car,1970-01-01 00:00:00.000000130,oregon,f
